label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Normal,155,330,737,665,2.jpg,1044,2660
Normal,65,311,376,379,3.png,516,1024
Normal,83,175,337,298,4.png,482,1024
Normal,55,309,401,368,5.png,556,956
Normal,55,444,424,372,6.png,482,1024
Normal,180,258,636,627,7.jpg,1124,2660
Normal,55,311,328,273,7nn.png,484,1024
Normal,89,416,383,370,9.png,494,1024
Normal,92,357,346,343,10.png,525,1024
Normal,304,435,665,765,11.jpg,1036,2660
Normal,65,252,420,361,11nn.png,553,1024
Normal,244,445,694,646,12.png,1127,2660
Normal,193,282,651,555,13.png,1149,2660
Normal,65,541,742,584,14.png,1095,2660
Normal,257,397,742,684,14nn.jpg,1124,2660
Normal,140,592,784,659,16.png,1329,2180
Normal,192,749,721,639,17.png,1332,2180
Normal,134,330,740,654,17nn.jpg,1088,2656
Normal,285,706,631,541,20.png,1357,1992
Normal,12,167,684,694,20nn.jpg,884,2660
Normal,79,752,523,570,21.png,1160,1992
Normal,37,262,326,311,22.JPEG,456,1024
Normal,660,282,708,670,23.jpg,2180,2660
Normal,350,123,368,381,23nn.JPEG,1024,1024
Normal,83,678,350,243,24.JPEG,552,1024
Normal,100,398,333,326,25.JPEG,516,1024
Normal,109,269,359,363,25n.JPEG,546,1024
Normal,76,215,750,721,26.jpg,1048,2656
Normal,151,186,302,350,26nn.JPEG,514,1024
Normal,83,365,319,324,27.JPEG,470,1024
Normal,39,521,425,343,28.JPEG,542,1024
Normal,66,236,403,396,28n.JPEG,536,1024
Normal,186,298,284,293,29.JPEG,548,1024
Normal,176,435,597,669,29nn.jpg,1096,2656
Normal,81,190,354,348,30.png,478,1024
Normal,66,643,379,282,30nn.JPEG,496,1024
Normal,30,455,359,370,31.JPEG,534,1024
Normal,206,325,607,693,32.jpg,992,2656
Normal,100,425,311,313,32nn.JPEG,494,1024
Normal,31,227,354,416,33.png,482,1024
Normal,34,315,376,368,33nn.JPEG,472,1024
Normal,156,493,727,588,34.jpg,1056,2660
